,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
18813,109,5,6,11,31,2,05中正區,中正區濟南路2段與臨沂街口,0,0,1,2,C03,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,2,44.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,44.0,6,1.0,22.0,7.0,121.5300682,25.0405741
18818,109,5,6,12,16,2,05中正區,中正區重慶南路2段與愛國西路口,0,0,1,1,C03,8,1,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,13,1,61.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,23.0,23,1.0,22.0,9.0,121.5124072,25.03514392
18819,109,5,6,12,16,2,05中正區,中正區重慶南路2段與愛國西路口,0,0,1,2,B03,8,1,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,13,1,52.0,3.0,10.0,1.0,1.0,7.0,14.0,1.0,8.0,2.0,6.0,44.0,23,1.0,22.0,9.0,121.5124072,25.03514392
18853,109,5,6,16,13,2,05中正區,中正區市民大道2段與金山北路口,0,0,2,1,C04,7,1,5,40,4,2,1,5,4,5,7,2,1,1,4,1,2,13,1,82.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,23.0,23,1.0,22.0,9.0,121.5305458,25.04600083
18854,109,5,6,16,13,2,05中正區,中正區市民大道2段與金山北路口,0,0,2,2,C03,7,1,5,40,4,2,1,5,4,5,7,2,1,1,4,1,2,13,1,55.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,13.0,44.0,23,1.0,22.0,9.0,121.5305458,25.04600083
18855,109,5,6,16,13,2,05中正區,中正區市民大道2段與金山北路口,0,0,2,3,H02,7,1,5,40,4,2,1,5,4,5,7,2,1,1,4,1,2,13,2,73.0,2.0,6.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,23,1.0,22.0,9.0,121.5305458,25.04600083
18874,109,5,6,17,26,2,05中正區,中正區重慶南路1段122號與凱達格蘭大道口,0,0,1,1,C03,8,1,5,50,14,8,1,5,4,5,7,4,4,5,4,4,2,18,2,29.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,15.0,43.0,43,1.0,22.0,9.0,121.5129473,25.03995123
18875,109,5,6,17,26,2,05中正區,中正區重慶南路1段122號與凱達格蘭大道口,0,0,1,2,,8,1,5,50,14,8,1,5,4,5,7,4,4,5,4,4,2,18,3,,,,,,,,,,,,67.0,43,1.0,,,121.5129473,25.03995123
18901,109,5,6,20,0,2,05中正區,中正區中山北路1段12號,0,0,1,1,B12,6,3,5,50,14,9,1,4,4,5,7,4,4,3,4,5,2,12,1,35.0,3.0,10.0,3.0,1.0,7.0,8.0,1.0,8.0,1.0,5.0,7.0,7,1.0,4.0,4.0,121.5197562,25.04637423
18903,109,5,6,20,0,2,05中正區,中正區中山北路1段12號,0,0,1,2,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,3,4,5,2,12,1,30.0,2.0,7.0,1.0,1.0,7.0,10.0,1.0,10.0,1.0,14.0,27.0,7,1.0,22.0,1.0,121.5197562,25.04637423
18926,109,5,6,21,30,2,05中正區,中正區林森南路與青島東路口,0,0,2,1,C03,6,3,5,50,4,2,1,4,4,5,7,1,1,9,5,4,1,11,1,29.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,11.0,6.0,6,1.0,22.0,9.0,121.5230787,25.04353088
18927,109,5,6,21,30,2,05中正區,中正區林森南路與青島東路口,0,0,2,2,C03,6,3,5,50,4,2,1,4,4,5,7,1,1,9,5,4,1,11,1,24.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,6,1.0,22.0,9.0,121.5230787,25.04353088
18963,109,5,7,9,2,2,05中正區,中正區中山南路與常德街口,0,0,2,1,C03,8,1,5,50,3,2,1,5,4,5,7,2,1,1,4,1,2,12,1,72.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,15.0,43.0,43,1.0,22.0,9.0,121.518284,25.04070892
18964,109,5,7,9,2,2,05中正區,中正區中山南路與常德街口,0,0,2,2,C03,8,1,5,50,3,2,1,5,4,5,7,2,1,1,4,1,2,12,1,25.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,43.0,43,1.0,22.0,9.0,121.518284,25.04070892
19007,109,5,7,16,20,2,05中正區,中正區仁愛路2段與新生南路1段口,0,0,2,1,C03,7,1,5,50,4,1,1,5,4,5,7,1,1,10,5,1,2,12,1,17.0,2.0,9.0,1.0,1.0,7.0,5.0,2.0,18.0,1.0,14.0,8.0,8,1.0,22.0,9.0,121.5326486,25.03804124
19008,109,5,7,16,20,2,05中正區,中正區仁愛路2段與新生南路1段口,0,0,2,2,C03,7,1,5,50,4,1,1,5,4,5,7,1,1,10,5,1,2,12,1,61.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,44.0,8,1.0,22.0,9.0,121.5326486,25.03804124
19039,109,5,7,19,0,2,05中正區,中正區林森南路與青島東路口,0,0,2,1,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,13,1,36.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,13.0,8.0,8,1.0,22.0,9.0,121.5230004,25.04362
19040,109,5,7,19,0,2,05中正區,中正區林森南路與青島東路口,0,0,2,2,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,13,1,33.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,26.0,8,1.0,22.0,9.0,121.5230004,25.04362
19061,109,5,7,23,5,2,05中正區,中正區金山北路1段與八德路1段口,0,0,1,1,B03,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,65.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,1.0,25.0,25,1.0,22.0,9.0,121.5298973,25.0436466
19062,109,5,7,23,5,2,05中正區,中正區金山北路1段與八德路1段口,0,0,1,2,B03,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,1,67.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,7.0,44.0,25,1.0,22.0,9.0,121.5298973,25.0436466
19063,109,5,7,23,5,2,05中正區,中正區金山北路1段與八德路1段口,0,0,1,3,H02,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,22.0,2.0,1.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,25,1.0,22.0,9.0,121.5298973,25.0436466
19112,109,5,8,9,30,2,05中正區,中正區林森南路41號前,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,12,1,73.0,3.0,10.0,1.0,1.0,7.0,11.0,1.0,8.0,1.0,4.0,10.0,10,1.0,22.0,9.0,121.5222136,25.04091639
19113,109,5,8,9,30,2,05中正區,中正區林森南路41號前,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,12,1,36.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,23.0,10,1.0,22.0,9.0,121.5222136,25.04091639
19127,109,5,8,10,50,2,05中正區,中正區福州街14號附近側附近(接近南昌路2段口),0,0,2,1,C03,8,1,5,50,14,9,1,5,4,5,7,1,1,5,5,5,1,3,1,44.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,23.0,23,1.0,22.0,9.0,121.518693,25.02882902
19128,109,5,8,10,50,2,05中正區,中正區福州街14號附近側附近(接近南昌路2段口),0,0,2,2,H01,8,1,5,50,14,9,1,5,4,5,7,1,1,5,5,5,1,3,1,30.0,2.0,7.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,51.0,23,1.0,22.0,9.0,121.518693,25.02882902
